S_1,Tsinghua University
S_512,Central University of Finance and Economics
S_513,Wuhan City Vocational College
S_514,China People’s Police University
S_515,Xi`an Shiyou University
S_534,Shaanxi Institute of Technology
S_535,Tianjin University of Technology and Education
S_536,tencentgroup
S_538,Zhejiang Shuren Univerisity
S_589,Beijing Information Science and Technology University
S_592,Xi'an University of Technology
S_595,Northwest A&F University
S_600,Pusan National University
S_601,Sungkyunkwan University
S_602,Inha University
S_605,Shanxi vocational college of finance and economics
S_609,est
S_611,Inner Mongolia Normal University
S_616,sddxyjsy
S_626,Hebei Normal University of Science & Technology
S_632,Yuxi Normal University
S_637,Tianjin University
S_648,YunchengYouerShifanGaodengZhuankeXuexiao
S_669,Tongchuan vocational and technical college
S_679,Rocket Force University of Engineering
S_685,Shanxi University
S_692,Hangzhou Normal University
S_704,Chinese Academy of Sciences
S_712,Jiangxi Institute of Fashion Technology
S_713,Criminal Investigation Police University of China
S_714,Sichuan College of Traditional Chinese Medicine
S_725,Guiyang Nursing Vocational College
S_734,Xi`an FanYi University
S_749,Guangdong University  of Petrochemical Technology
S_768,Kering
S_780,Inner Mongolia Electronic Information Vocational Technical College
S_791,Chinese Society of Biotechnology
S_793,China Medical University
S_794,Tianjin University of Traditional Chinese Medicine
S_795,Zhengzhou Institute of Technology
S_796,Kunming fire College
S_798,Shanghai Art & Design Academy
S_800,Guizhou University
S_802,Anhui Polytechnic University
S_803,North China University of Water Resources and Electric Power
S_805,"China University of Mining & Technology,Beijing"
S_823,Xi`an Academy of Fine Arts
S_828,Chulalongkorn University
S_850,Shangqiu Normal University
S_856,Anhui medical college
S_857,Inner Mongolia University of Technology
S_858,Guizhou Vocational and Technical College of Economics and Trade
S_859,Northwest University of Political Science and Law
S_860,Weinan Normal University
S_862,Xi'an Siyuan University
S_867,Binzhou Polytechnic
S_868,Jinggangshan University
S_875,Xi'an Technological University
S_877,ZHUHAI COLLEGE OF JILIN UNIVERSITY
S_888,Tianjin University of Finance and Economics Pearl River College
S_892,Yangtze University
S_910,Qi An Xin Group
S_917,Shandong Jiaotong University
S_935,Tiangong University
S_964,Sichuan Conservatory of Music
S_971,Shaanxi University of Chinese Medicine
S_1006,Anhui University of Science and Technology
S_1031,Hebei Normal University for Nationalities
S_1064,Qingdao University of Science and Technology
S_1075,Northwest Normal University
S_1077,China Academy of Industrial Internet
S_1079,World Health Organization
S_1082,Guangdong Pharmaceutical University
S_1084,Shandong University of Traditional Chinese Medicine
S_1085,Bijie Early Childhood Teachers College
S_1086,Baoshan University
S_1087,Henan Institute of Economics and Trade
S_1116,Zhipu AI 
S_1120,North Minzu University
S_1132,Liaoning Agricultural College
S_1139,Langfang Mass Art Museum
S_1190,Shanghai University of International Business and Economics
S_1199,Xuzhou Medical University
S_1205,Harbin University of Commerce
S_1208,didiglobal
S_1214,Eastern Liaoning University
S_1215,Vocational and Technical College OF IMAU
S_1220,Binzhou University
S_1241,zjxb
S_1249,Zhejiang College of Construction
S_1262,Xiangyang Vocational and Technical Collage
S_1270,Dongguk University
S_1281,Humanitarian & Sustainable Development Initiative (HDI)
S_1305,Tourism and Culture College of Yunnan University
S_1306,University of Science and Technology Liaoning
S_1320,HeiLongJiang Agricultural Economy Vocational College
S_1323,Guangzhou Sport University
S_1347,Guizhou Institute of Technology
S_1368,China University of Mining And Technology Yinchuan College
S_1374,Jieyang Polytechnic
S_1377,Ordos ecological environment Vocational College
S_1388,swarma
S_1392,"Beijing Dison Digital Entertainment Co., Ltd. "
S_1402,Kaohsiung Medical University
S_1405,Heilongjiang Agricultural ReclamationVocational College，ARVC
S_1448,Jiangxi University of Finance And Economics
S_1453,GuiZhou Communications Polytechnic
S_1455,Heilongjiang University of Chinese Medicine
